ts,wind_speed,wind_direction,pressure_kp,pressure_oo,flow_kp_in,flow_oo_out,flow_oo_in,dp_kp_os,dp_oo_os_8,dp_oo_os_9,dp_kp_oo,dp_kp_oo_by,dp_kp_oo_bz,dp_kp_oo_ca,air_density,gu_pressure_west_wall,gu_pressure_east_wall,gu_pressure_cyl_wall,gu_pressure_west_gap,gu_pressure_east_gap,gu_pressure_vsro,gu_sigma_008,gu_sigma_009,gu_sigma_kp_os
2022-01-05 03:20:00,2.4,192,3.4,-4.0,13.612055555555555,33.38361111111111,0.0,3.4,-4.0,-14.3,8.26,8.26,7.62,7.9399999999999995,1.225,-3.0708638884494874,-4.149249212691605,-3.582004797303197,-1.930105716209402,-2.991529341939009,-4.46099510289629,0.9623193203274203,-2.632594055086329,-2.612401406461725
2022-01-05 11:15:00,6.13,284,-35.2,-22.5,13.61525,33.333888888888886,0.0,-35.2,-22.5,-31.8,7.35,7.35,7.08,7.215,1.225,37.18654133178234,-26.67329687548847,-27.832630606382295,33.65091753849322,-26.266884639381175,-27.025883089567447,11.232490980991342,25.25125540134382,42.1062947256611
2022-01-05 19:10:00,1.7,185,-3.3,-14.1,13.606333333333334,33.3775,0.0,-3.3,-14.1,-13.7,6.92,6.92,7.26,7.09,1.225,-2.271122050201154,-1.813468743792262,-1.808588242701714,-1.87668249114135,-1.0860507469124687,-2.21644641736508,-1.2065486809534,-1.544081386962784,-1.6244345109507845
2022-01-06 03:05:00,2.08,231,-14.0,-25.7,13.616944444444444,33.38166666666667,0.0,-14.0,-25.7,-21.3,7.88,7.88,7.48,7.68,1.225,3.178090302665996,-3.3555132438648094,-2.6719696324126385,3.1501704440765383,-3.3229841806875458,-3.3864660230058465,5.877399511691742,0.2232218208505663,1.9275957570809934
2022-01-06 11:00:00,2.87,264,-25.9,-26.7,13.607555555555555,33.34777777777778,0.0,-25.9,-26.7,-29.3,7.75,7.75,7.49,7.62,1.225,8.20700029872903,-5.796807839760961,-7.483619614904832,8.02124864463113,-5.723150920851247,-5.960356017443127,4.669260951933775,6.539028375238988,10.498817009793862
2022-01-06 18:55:00,1.34,237,-17.8,-29.6,13.6065,33.31138888888889,0.0,-17.8,-29.6,-25.7,8.03,8.03,7.58,7.805,1.225,1.3818638955875182,-1.3082145358631942,-1.1481890584829602,1.259369507436381,-1.303990348422152,-1.307296832910143,1.8399377118740308,0.11151646999017956,0.9227726059329072
2022-01-07 02:50:00,3.28,278,-31.2,-28.9,13.619055555555555,33.31111111111111,0.0,-31.2,-28.9,-34.4,8.48,8.48,7.44,7.960000000000001,1.225,11.010174072624118,-7.658178905341539,-8.581798507949959,10.202637059537418,-7.537208546427646,-8.030088771295805,3.1183740111632687,8.781333524418867,13.718616849518291
2022-01-07 10:45:00,4.92,271,-52.2,-45.1,13.608555555555556,33.36138888888889,0.0,-52.2,-45.1,-52.4,9.74,9.74,7.13,8.435,1.225,26.388473406793764,-18.419300211744268,-21.073187110422975,24.61247975269309,-18.322292585515836,-20.321428315544303,3.8268466016438905,23.472401257020067,37.27931631806004
2022-01-07 18:40:00,0.98,243,-21.9,-34.4,13.613833333333334,33.318333333333335,0.0,-21.9,-34.4,-33.8,9.8,9.8,6.48,8.14,1.225,0.8658103058832495,-0.6770027305913404,-0.6455385227097221,0.7819578539522422,-0.6780848359655701,-0.6728467263224269,0.9006516596516299,0.2048584766673336,0.6871315642614477
2022-01-08 02:35:00,2.07,235,-25.1,-40.2,13.604888888888889,33.29972222222222,0.0,-25.1,-40.2,-36.2,10.05,10.05,6.02,8.035,1.225,3.2475935824200906,-3.1889993221123536,-2.7087542841011927,3.0435012795072387,-3.171540097591154,-3.1977579826279032,4.867477005819079,0.2511038464205323,2.1043972189888622
